store_id,product_id,stock_quantity,time
1,971,202,2026-02-21
1,347,406,2025-03-28
1,481,131,2025-05-21
1,483,482,2025-12-19
1,635,482,2025-07-19
1,384,300,2026-02-14
1,333,498,2025-08-15
1,470,90,2026-01-04
1,337,381,2026-01-02
1,523,185,2025-09-16
1,755,120,2025-11-05
1,382,339,2025-08-08
1,138,489,2026-02-11
1,315,223,2025-08-24
1,938,499,2025-08-15
1,509,46,2025-08-05
1,574,435,2026-03-13
1,369,81,2025-12-19
1,595,366,2025-06-21
1,599,2,2025-07-22
1,431,388,2025-12-17
1,772,317,2025-10-27
1,508,397,2025-05-12
1,524,371,2025-07-09
1,261,363,2025-08-18
1,467,378,2026-02-13
1,671,49,2025-08-22
1,890,421,2025-03-26
1,668,65,2025-06-11
1,423,374,2025-07-08
1,802,461,2025-07-18
1,694,309,2025-08-28
1,620,1,2025-07-01
1,30,69,2025-04-22
1,822,471,2026-03-02
1,675,423,2026-02-09
1,505,203,2026-01-04
1,453,63,2025-12-31
1,948,80,2025-03-20
1,703,461,2025-10-29
1,522,302,2025-04-15
1,205,118,2025-06-15
1,591,123,2025-12-09
1,27,103,2026-03-04
1,632,440,2025-08-02
1,647,457,2025-07-05
1,513,143,2025-11-03
1,707,326,2025-11-14
1,420,431,2025-12-17
1,446,170,2026-01-09
1,846,174,2025-09-09
1,775,327,2025-12-27
1,990,487,2026-02-16
1,201,151,2025-11-24
1,268,417,2025-08-29
1,837,5,2025-12-17
1,157,119,2025-09-04
1,335,421,2025-05-10
1,322,40,2025-12-16
1,853,207,2025-06-29
1,753,72,2025-09-22
1,638,307,2025-12-06
1,590,366,2025-11-23
1,773,57,2026-01-15
1,323,307,2025-12-07
1,617,358,2025-10-02
1,906,233,2025-04-27
1,421,108,2025-11-14
1,809,466,2026-01-08
1,923,146,2025-03-16
1,844,101,2025-06-22
1,188,430,2025-12-26
1,520,248,2025-03-31
1,500,256,2026-02-27
1,234,74,2025-05-30
1,72,391,2026-02-15
1,34,13,2025-07-17
1,958,227,2025-06-14
1,727,25,2025-07-04
1,862,412,2025-07-14
1,994,0,2025-04-10
1,847,390,2025-08-11
1,221,456,2025-08-05
1,562,193,2025-07-24
1,781,311,2025-09-18
1,381,80,2025-04-29
1,162,82,2025-07-07
1,282,204,2025-07-27
1,433,444,2025-09-01
1,710,23,2025-07-17
1,964,187,2025-12-30
1,442,457,2026-01-29
1,293,486,2025-11-07
1,132,4,2025-07-24
1,90,374,2025-11-26
1,843,427,2025-09-27
1,805,473,2025-03-16
1,583,421,2025-12-09
1,438,43,2026-01-20
1,418,194,2025-12-10
2,630,186,2026-03-09
2,354,437,2026-01-19
2,588,335,2025-10-14
2,162,221,2025-07-22
2,186,446,2025-10-06
2,455,309,2025-07-16
2,13,153,2025-08-09
2,996,496,2025-05-12
2,988,310,2025-03-16
2,663,99,2025-12-17
2,249,472,2025-12-10
2,673,78,2025-04-20
2,459,296,2025-07-14
2,68,169,2026-03-14
2,582,3,2025-04-09
2,915,17,2026-03-14
2,398,157,2025-05-11
2,141,330,2025-03-26
2,751,18,2026-01-28
2,321,236,2025-06-12
2,581,449,2025-09-16
